Date,Open,High,Low,Close,Total Trade Quantity
2015-04-15,38.6,38.7,36.05,36.5,29856.0
2015-04-16,38.0,38.0,35.2,35.9,40274.0
2015-04-17,38.45,38.45,35.0,35.6,85731.0
2015-04-20,35.6,36.6,34.2,34.7,49180.0
2015-04-21,35.0,35.1,34.0,34.7,30544.0
2015-04-22,35.0,35.95,34.35,34.7,11880.0
2015-04-23,35.0,35.9,34.6,35.45,12421.0
2015-04-24,36.0,36.0,34.4,34.65,31082.0
2015-04-27,35.0,35.8,34.0,34.25,38550.0
2015-04-28,35.0,35.0,33.75,34.05,48966.0
2015-04-29,34.7,34.8,34.1,34.2,15014.0
2015-04-30,35.75,35.75,33.75,33.9,17586.0
2015-05-04,33.9,34.4,33.75,33.85,27909.0
2015-05-05,34.0,40.6,33.5,38.15,160758.0
2015-05-06,38.0,38.45,33.0,35.25,116203.0
2015-05-07,35.0,35.65,33.6,34.05,30904.0
2015-05-08,34.8,35.35,33.55,33.85,36569.0
2015-05-11,34.0,34.6,33.6,33.85,16268.0
2015-05-12,34.25,34.25,33.55,33.75,44758.0
2015-05-13,33.75,34.4,33.5,33.65,25784.0
2015-05-14,33.75,33.95,33.55,33.55,13330.0
2015-05-15,34.25,34.25,33.25,33.25,23344.0
2015-05-18,33.5,33.6,33.25,33.3,12296.0
2015-05-19,33.5,34.8,33.25,33.55,56716.0
2015-05-20,33.5,34.5,33.5,33.65,85420.0
2015-05-21,33.7,34.2,33.55,33.65,11430.0
2015-05-22,33.7,34.0,33.5,33.8,14972.0
2015-05-25,33.5,33.95,33.35,33.9,11071.0
2015-05-26,33.95,34.35,33.35,34.25,36947.0
2015-05-27,34.25,35.25,33.3,33.95,182756.0
2015-05-28,33.9,33.9,32.0,32.85,33695.0
2015-05-29,33.25,33.8,32.8,33.35,11136.0
2015-06-01,33.8,33.8,32.05,32.25,17196.0
2015-06-02,32.7,32.8,32.0,32.15,54086.0
2015-06-03,32.5,32.5,31.65,32.4,31062.0
2015-06-04,32.15,32.5,32.0,32.3,42122.0
2015-06-05,32.3,33.0,31.75,32.35,16297.0
2015-06-08,32.35,33.95,32.0,33.35,153588.0
2015-06-09,33.9,34.0,31.1,33.0,72459.0
2015-06-10,33.45,33.5,32.55,33.0,21911.0
2015-06-11,34.5,34.5,32.3,33.45,63398.0
2015-06-12,33.0,34.5,32.0,33.95,16684.0
2015-06-15,33.9,33.9,31.35,32.35,54257.0
2015-06-16,32.4,33.4,31.0,32.4,54011.0
2015-06-17,32.95,33.5,32.0,32.3,66146.0
2015-06-18,33.0,33.0,32.1,32.2,35089.0
2015-06-19,32.0,33.45,31.7,32.9,35533.0
2015-06-22,33.0,33.0,31.85,31.95,24591.0
2015-06-23,32.0,32.5,31.7,31.85,43718.0
2015-06-24,32.4,32.7,31.1,32.25,19595.0
2015-06-25,32.25,32.5,31.55,31.95,33551.0
2015-06-26,32.0,36.0,31.5,31.6,32818.0
2015-06-29,31.6,32.3,31.25,31.6,22092.0
2015-06-30,32.9,33.15,31.6,32.85,51246.0
2015-07-01,33.0,33.35,31.8,31.95,29363.0
2015-07-02,32.7,32.75,31.85,31.9,35751.0
2015-07-03,32.35,32.4,31.75,32.15,13035.0
2015-07-06,31.65,32.9,31.65,31.85,25504.0
2015-07-07,32.0,32.9,31.75,32.0,45904.0
2015-07-08,32.3,32.4,31.05,31.65,21728.0
2015-07-09,32.4,32.55,31.35,31.55,43645.0
2015-07-10,32.85,32.85,30.5,30.65,41010.0
2015-07-13,31.25,31.25,30.5,30.7,22138.0
2015-07-14,31.0,31.45,30.55,30.75,44436.0
2015-07-15,30.85,31.45,30.6,30.75,50904.0
2015-07-16,30.85,31.2,30.25,30.6,44084.0
2015-07-17,30.8,30.85,30.35,30.45,20451.0
2015-07-20,30.6,30.9,30.3,30.4,19392.0
2015-07-21,31.0,31.0,29.3,30.05,67109.0
2015-07-22,30.45,30.45,29.6,30.0,52043.0
2015-07-23,32.7,32.7,29.7,30.4,27053.0
2015-07-24,30.95,30.95,29.8,29.9,39541.0
2015-07-27,30.5,30.5,29.0,29.65,18026.0
2015-07-28,29.25,30.45,29.25,29.7,47736.0
2015-07-29,30.0,30.35,28.5,29.4,43949.0
2015-07-30,29.7,29.75,28.6,29.1,21891.0
2015-07-31,29.1,29.35,28.5,28.8,37312.0
2015-08-03,29.0,29.55,28.5,28.8,41444.0
2015-08-04,28.7,29.9,28.6,29.2,54804.0
2015-08-05,29.4,30.4,29.0,29.6,34260.0
2015-08-06,29.9,31.5,27.75,28.1,54669.0
2015-08-07,28.9,33.7,28.5,31.85,387577.0
2015-08-10,30.7,30.8,28.55,28.8,85952.0
2015-08-11,29.4,30.65,28.25,28.4,122349.0
2015-08-12,28.9,29.4,28.0,28.2,39296.0
2015-08-13,28.3,28.95,27.2,27.6,63348.0
2015-08-14,28.4,28.8,27.25,27.75,41699.0
2015-08-17,28.5,28.5,27.1,27.8,29387.0
2015-08-18,28.2,28.2,27.15,27.4,30252.0
2015-08-19,27.7,27.8,27.15,27.3,21121.0
2015-08-20,27.5,27.65,26.85,27.0,58129.0
2015-08-21,26.05,27.4,26.05,26.65,20467.0
2015-08-24,26.25,26.75,25.4,25.5,26137.0
2015-08-25,25.5,26.0,24.9,25.4,30846.0
2015-08-26,25.75,26.9,25.5,25.8,11277.0
2015-08-27,26.6,26.9,25.0,25.6,47907.0
2015-08-28,26.2,26.5,25.4,26.1,30717.0
2015-08-31,26.4,26.5,25.5,26.25,24392.0
2015-09-01,25.45,27.3,25.0,25.3,26473.0
2015-09-02,25.5,26.8,25.0,25.8,24072.0
2015-09-03,26.4,27.0,25.4,25.75,50875.0
2015-09-04,26.3,26.3,25.0,25.55,25742.0
2015-09-07,25.95,26.15,24.9,25.1,29188.0
2015-09-08,25.5,25.5,25.0,25.45,23726.0
2015-09-09,25.6,26.0,25.45,25.8,23111.0
2015-09-10,25.55,26.0,25.05,25.5,27938.0
2015-09-11,25.85,25.95,25.15,25.35,51863.0
2015-09-14,25.5,25.95,25.15,25.75,16142.0
2015-09-15,25.6,26.0,25.2,25.3,53846.0
2015-09-16,25.5,25.6,25.1,25.4,48708.0
2015-09-18,25.5,25.8,25.15,25.5,39619.0
2015-09-21,26.4,26.4,25.0,25.4,21678.0
2015-09-22,25.55,25.85,25.1,25.2,36108.0
2015-09-23,25.3,25.3,24.5,25.05,32043.0
2015-09-24,25.5,25.5,24.95,25.0,27482.0
2015-09-28,25.55,25.8,25.0,25.05,13996.0
2015-09-29,25.4,25.5,24.95,25.1,31149.0
2015-09-30,25.55,25.55,25.0,25.1,12962.0
2015-10-01,25.7,25.7,24.75,25.0,23159.0
2015-10-05,25.4,25.6,25.0,25.45,24336.0
2015-10-06,25.65,26.45,25.15,25.55,49165.0
2015-10-07,25.85,25.95,25.5,25.75,30658.0
2015-10-08,25.5,26.5,25.5,25.6,25044.0
2015-10-09,25.25,25.9,25.2,25.65,16273.0
2015-10-12,25.85,26.1,25.4,25.85,32684.0
2015-10-13,25.8,30.5,25.5,29.45,303020.0
